SRV_STD;WC200_DST_SRV_RATE;WC200_DST_SERR_RATE;WC200_DST_RERR_RATE;WC200_SRV_SRC_RATE;WT10_DST_SRV_RATE;MAP_SRC_INIT_HAS_A;MAP_SRC_INIT_HAS_F;MAP_SRC_INIT_HAS_S;MAP_SRC_INIT_HAS_R;MAP_SRC_INIT_HAS_P;MAP_SRC_INIT_HAS_C;MAP_SRC_INIT_HAS_U;MAP_SRC_INIT_HAS_E;STATE_SF;MAP_WC200_DST_CNT;MAP_WC200_SRV_CNT;MAP_WT10_DST_CNT;MAP_WT10_SRV_CNT;MAP_SRC_BYTES;IS_NA;IS_AS;IS_DBC;IS_FT;IS_HTTP;IS_MI;IS_MM;IS_NW;IS_RA;IS_UK
HTTP;0.345;0;0.385;0;0.604;0;0;1;0;0;0;0;0;1;1;1;1;1;1.80E-01;0;0;0;0;1;0;0;0;0;0
AS;0;0;0.365;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;5.69E-01;0;1;0;0;0;0;0;0;0;0
HTTP;0.385;0;0.36;0;0.616;0;0;1;0;0;0;0;0;1;1;1;1;1;1.81E-02;0;0;0;0;1;0;0;0;0;0
AS;0.015;0;0.36;0.005;0.006;1;1;0;0;0;0;0;0;1;1;1;1;1;4.91E-03;0;1;0;0;0;0;0;0;0;0
HTTP;0;0;0.365;0;0.002;1;0;0;1;0;0;0;0;1;1;1;1;1;4.91E-03;0;0;0;0;1;0;0;0;0;0
AS;0;0;0.355;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;5.48E-01;0;1;0;0;0;0;0;0;0;0
AS;0.005;0;0.355;0.005;0.002;1;1;0;0;0;0;0;0;1;1;1;1;1;4.91E-03;0;1;0;0;0;0;0;0;0;0
HTTP;0.365;0;0.36;0;0.582;0;0;1;0;0;0;0;0;1;1;1;1;1;1.78E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.365;0;0.36;0;0.582;0;0;1;0;0;0;0;0;1;1;1;1;1;1.80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.365;0;0.36;0;0.584;0;0;1;0;0;0;0;0;1;1;1;1;1;1.78E-01;0;0;0;0;1;0;0;0;0;0
AS;0.005;0;0.375;0;0.002;0;0;1;0;0;0;0;0;1;1;1;1;1;6.59E-01;0;1;0;0;0;0;0;0;0;0
AS;0.055;0;0.375;0;0.024;1;1;0;0;0;0;0;0;1;1;1;1;1;4.91E-03;0;1;0;0;0;0;0;0;0;0
AS;0.005;0;0.37;0.005;0.002;1;1;0;0;0;0;0;0;1;1;1;1;1;4.91E-03;0;1;0;0;0;0;0;0;0;0
AS;0;0;0.365;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;2.36E-01;0;1;0;0;0;0;0;0;0;0
AS;0.005;0;0.39;0.005;0.002;1;1;0;0;0;0;0;0;1;1;1;1;1;4.91E-03;0;1;0;0;0;0;0;0;0;0
HTTP;0.395;0;0.37;0;0.516;0;0;1;0;0;0;0;0;1;1;1;1;1;1.78E-01;0;0;0;0;1;0;0;0;0;0
AS;0;0;0.36;0;0.004;0;0;1;0;0;0;0;0;1;1;1;1;1;5.56E-01;0;1;0;0;0;0;0;0;0;0
AS;0.005;0;0.36;0.005;0.006;1;1;0;0;0;0;0;0;1;1;1;1;1;4.91E-03;0;1;0;0;0;0;0;0;0;0
AS;0;0;0.35;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;5.47E-01;0;1;0;0;0;0;0;0;0;0
AS;0;0;0.355;0;0.002;0;0;1;0;0;0;0;0;1;1;1;1;1;7.92E-02;0;1;0;0;0;0;0;0;0;0
HTTP;0.375;0;0.38;0;0.454;0;0;1;0;0;0;0;0;1;1;1;1;1;1.79E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.385;0;0.38;0;0.454;0;0;1;0;0;0;0;0;1;1;1;1;1;1.78E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.485;0;0.325;0;0.45;0;0;1;0;0;0;0;0;1;1;1;1;1;1.81E-02;0;0;0;0;1;0;0;0;0;0
HTTP;0.485;0;0.325;0;0.45;0;0;1;0;0;0;0;0;1;1;1;1;1;1.81E-02;0;0;0;0;1;0;0;0;0;0
HTTP;0.505;0;0.315;0;0.45;0;0;1;0;0;0;0;0;1;1;1;1;1;1.78E-01;0;0;0;0;1;0;0;0;0;0
AS;0.02;0;0.295;0;0.012;0;0;1;0;0;0;0;0;1;1;1;1;1;5.46E-01;0;1;0;0;0;0;0;0;0;0
HTTP;0.495;0;0.325;0;0.46;0;0;1;0;0;0;0;0;1;1;1;1;1;1.80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.545;0;0.305;0;0.476;0;0;1;0;0;0;0;0;1;1;1;1;1;1.80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.57;0;0.285;0;0.476;0;0;1;0;0;0;0;0;1;1;1;1;1;1.80E-01;0;0;0;0;1;0;0;0;0;0
