SRV_STD;WC200_DST_SRV_RATE;WC200_DST_SERR_RATE;WC200_DST_RERR_RATE;WC200_SRV_SRC_RATE;WT10_DST_SRV_RATE;MAP_SRC_INIT_HAS_A;MAP_SRC_INIT_HAS_F;MAP_SRC_INIT_HAS_S;MAP_SRC_INIT_HAS_R;MAP_SRC_INIT_HAS_P;MAP_SRC_INIT_HAS_C;MAP_SRC_INIT_HAS_U;MAP_SRC_INIT_HAS_E;STATE_SF;MAP_WC200_DST_CNT;MAP_WC200_SRV_CNT;MAP_WT10_DST_CNT;MAP_WT10_SRV_CNT;MAP_SRC_BYTES;IS_NA;IS_AS;IS_DBC;IS_FT;IS_HTTP;IS_MI;IS_MM;IS_NW;IS_RA;IS_UK
AS;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0.015;0;0.006;0;1,46E-03;0;1;0;0;0;0;0;0;0;0
AS;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0.035;0.03;0.014;0.012;5,52E-01;0;1;0;0;0;0;0;0;0;0
UK;0;0;0.0833;0;0;1;0;0;1;0;0;0;0;1;0.06;0.015;0.024;0.006;4,91E-03;0;0;0;0;0;0;0;0;0;1
HTTP;0.1765;0;0.0588;0;0.1765;0;0;1;0;0;0;0;0;1;0.085;0.045;0.034;0.018;1,78E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.2222;0;0.0556;0;0.2222;0;0;1;0;0;0;0;0;1;0.09;0.05;0.036;0.02;1,78E-01;0;0;0;0;1;0;0;0;0;0
AS;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0.02;0.08;0.008;0.032;1,46E-03;0;1;0;0;0;0;0;0;0;0
AS;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0.065;0.19;0.026;0.076;1,46E-03;0;1;0;0;0;0;0;0;0;0
HTTP;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0.055;0.245;0.022;0.098;4,91E-03;0;0;0;0;1;0;0;0;0;0
HTTP;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0.075;0.315;0.03;0.126;4,91E-03;0;0;0;0;1;0;0;0;0;0
HTTP;0.0417;0;0;0.0254;0.0417;1;1;0;0;0;0;0;0;1;0.12;0.59;0.048;0.236;9,94E-04;0;0;0;0;1;0;0;0;0;0
HTTP;0.3636;0;0.0455;0;0.3636;0;0;1;0;0;0;0;0;1;0.11;0.075;0.044;0.03;1,81E-02;0;0;0;0;1;0;0;0;0;0
HTTP;0.4483;0;0.0345;0;0.4483;0;0;1;0;0;0;0;0;1;0.145;0.11;0.058;0.044;1,80E-01;0;0;0;0;1;0;0;0;0;0
AS;0.0256;0;0.0769;0.0476;0.0256;1;1;0;0;0;0;0;0;1;0.195;0.105;0.078;0.042;4,91E-03;0;1;0;0;0;0;0;0;0;0
MM;0.0294;0;0.0882;0;0.0294;0;0;1;0;0;0;0;0;1;0.17;0.43;0.068;0.172;6,03E-02;0;0;0;0;0;0;1;0;0;0
AS;0.0513;0;0.1026;0;0.0513;0;0;1;0;0;0;0;0;1;0.195;0.48;0.078;0.192;5,64E-01;0;1;0;0;0;0;0;0;0;0
AS;0;0;0.1163;0;0;1;1;0;0;0;0;0;0;1;0.215;0.14;0.086;0.056;4,91E-03;0;1;0;0;0;0;0;0;0;0
AS;0;0;0.1111;0;0;0;0;1;0;0;0;0;0;1;0.225;0.155;0.09;0.062;5,65E-01;0;1;0;0;0;0;0;0;0;0
